Species;Leaf out;Flowering;Fruiting ;Dispersal;Senescence ;Leaf fall
Ranunculus hyperboreus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus nivalis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus pygmaeus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus repens;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rhinanthus minor;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rhodiola rosea ;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rhododendron lapponicum;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;none;none
Ribes spicatum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rubus arcticus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rubus chamaemorus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rubus saxatilis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rumex acetosa;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Rumex acetosella;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Sagina caespitosa;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Sagina nivalis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Sagina saginoides;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Salix arbuscula;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix caprea;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix glauca;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix hastata;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix herbacea;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix lanata;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix lapponum;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix myrsinifolia;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix myrsinites;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix phylicifolia;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix polaris;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix reticulata;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Salix sp.;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,vd,vt;L
Saussurea alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga aizoides;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga cernua;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga foliolosa;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga nivalis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga oppositifolia;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga rivularis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga stellaris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga tenuis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Saxifraga sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Sedum villosum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Sibbaldia procumbens;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Silene acaulis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Silene dioica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Silene wahlbergella;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Solidago virgaurea;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Sorbus aucuparia;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g,ed,r;L
Stellaria borealis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
